CBSA Code,State FIPS Code,Metro Area,City,State,pop2017
35620,34,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Jersey City,NJ,20320876
35620,34,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Lakewood,NJ,20320876
35620,34,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Newark,NJ,20320876
35620,34,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",New Brunswick,NJ,20320876
35620,36,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",New York,NY,20320876
35620,36,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",White Plains,NY,20320876
31080,6,"Los Angeles-Long Beach-Anaheim, CA Metro Area",Anaheim,CA,13353907
31080,6,"Los Angeles-Long Beach-Anaheim, CA Metro Area",Arcadia,CA,13353907
31080,6,"Los Angeles-Long Beach-Anaheim, CA Metro Area",Burbank,CA,13353907
31080,6,"Los Angeles-Long Beach-Anaheim, CA Metro Area",Carson,CA,13353907
31080,6,"Los Angeles-Long Beach-Anaheim, CA Metro Area",Costa Mesa,CA,13353907
31080,6,"Los Angeles-Long Beach-Anaheim, CA Metro Area",Fountain Valley,CA,13353907
31080,6,"Los Angeles-Long Beach-Anaheim, CA Metro Area",Gardena,CA,13353907
31080,6,"Los Angeles-Long Beach-Anaheim, CA Metro Area",Glendale,CA,13353907
31080,6,"Los Angeles-Long Beach-Anaheim, CA Metro Area",Irvine,CA,13353907
31080,6,"Los Angeles-Long Beach-Anaheim, CA Metro Area",Long Beach,CA,13353907
31080,6,"Los Angeles-Long Beach-Anaheim, CA Metro Area",Los Angeles,CA,13353907
31080,6,"Los Angeles-Long Beach-Anaheim, CA Metro Area",Monterey Park,CA,13353907
31080,6,"Los Angeles-Long Beach-Anaheim, CA Metro Area",Newport Beach,CA,13353907
31080,6,"Los Angeles-Long Beach-Anaheim, CA Metro Area",Orange,CA,13353907
31080,6,"Los Angeles-Long Beach-Anaheim, CA Metro Area",Pasadena,CA,13353907
31080,6,"Los Angeles-Long Beach-Anaheim, CA Metro Area",Santa Ana,CA,13353907
31080,6,"Los Angeles-Long Beach-Anaheim, CA Metro Area",Santa Monica,CA,13353907
31080,6,"Los Angeles-Long Beach-Anaheim, CA Metro Area",Torrance,CA,13353907
31080,6,"Los Angeles-Long Beach-Anaheim, CA Metro Area",Tustin,CA,13353907
16980,17,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",Arlington Heights,IL,9533040
16980,17,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",Chicago,IL,9533040
16980,17,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",Des Plaines,IL,9533040
16980,17,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",Elgin,IL,9533040
16980,17,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",Evanston,IL,9533040
16980,17,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",Hoffman Estates,IL,9533040
16980,17,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",Naperville,IL,9533040
16980,17,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",Schaumburg,IL,9533040
16980,17,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",Skokie,IL,9533040
16980,18,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",Gary,IN,9533040
19100,48,"Dallas-Fort Worth-Arlington, TX Metro Area",Arlington,TX,7399662
19100,48,"Dallas-Fort Worth-Arlington, TX Metro Area",Dallas,TX,7399662
19100,48,"Dallas-Fort Worth-Arlington, TX Metro Area",Denton,TX,7399662
19100,48,"Dallas-Fort Worth-Arlington, TX Metro Area",Fort Worth,TX,7399662
19100,48,"Dallas-Fort Worth-Arlington, TX Metro Area",Irving,TX,7399662
19100,48,"Dallas-Fort Worth-Arlington, TX Metro Area",Plano,TX,7399662
19100,48,"Dallas-Fort Worth-Arlington, TX Metro Area",Richardson,TX,7399662
26420,48,"Houston-The Woodlands-Sugar Land, TX Metro Area",Baytown,TX,6892427
26420,48,"Houston-The Woodlands-Sugar Land, TX Metro Area",Conroe,TX,6892427
26420,48,"Houston-The Woodlands-Sugar Land, TX Metro Area",Houston,TX,6892427
26420,48,"Houston-The Woodlands-Sugar Land, TX Metro Area",Sugar Land,TX,6892427
26420,48,"Houston-The Woodlands-Sugar Land, TX Metro Area",The Woodlands,TX,6892427
